Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3 method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred _TN_method,reported_TN_method,bias-TN-d,bias-TN-c,TN-d bias %,TN-c bias %,Flag TN-d,Flag TN-c
38,Spring - 2013,(high),118,NA,NA,0.594,0.59,NA,1.57,1.48,NA,0.594,1.57,NA,NA,d,colorimetric,0.09,NA,6.08,NA,,
38,Spring - 2013,(low),117,NA,NA,0.216,0.22,NA,0.65,0.641,NA,0.216,0.65,NA,NA,d,colorimetric,0.009,NA,1.4,NA,,
38,Spring - 2014,(high),122,NA,NA,1.027,1.1,NA,1.76,1.7,NA,1.027,1.76,NA,NA,d,colorimetric,0.06,NA,3.53,NA,,
38,Spring - 2014,(low),121,NA,NA,0.403,0.418,NA,0.58,0.555,NA,0.403,0.58,NA,NA,d,colorimetric,0.025,NA,4.5,NA,,
38,Spring - 2015,(high),126,NA,NA,1.503,1.48,NA,1.95,1.86,NA,1.503,1.95,NA,NA,d,colorimetric,0.09,NA,4.84,NA,,
38,Spring - 2015,(low),125,NA,NA,0.305,0.307,NA,0.51,0.464,NA,0.305,0.51,NA,NA,d,colorimetric,0.046,NA,9.91,NA,,
38,Spring - 2016,(high),130,NA,NA,1.908,1.81,NA,2.46,2.32,NA,1.908,2.46,NA,NA,d,colorimetric,0.14,NA,6.03,NA,,
38,Spring - 2016,(low),129,NA,NA,0.279,0.267,NA,0.46,0.48,NA,0.279,0.46,NA,NA,d,colorimetric,-0.02,NA,-4.17,NA,,
38,Spring - 2018,(high),138,NA,NA,0.784,0.79,NA,1.34,1.27,NA,0.784,1.34,NA,NA,d,colorimetric,0.07,NA,5.51,NA,,
38,Spring - 2018,(low),137,NA,NA,0.324,0.326,NA,0.46,0.45,NA,0.324,0.46,NA,NA,d,colorimetric,0.01,NA,2.22,NA,,
46,Fall - 2018,(high),140,0.371,0.486,0.637,0.663,colorimetric,NA,1.14,0.371,0.637,NA,1.008,NA,c,NA,NA,-0.132,NA,-11.58,,
46,Spring - 2012,(high),114,1.03,1.03,1.15,1.13,colorimetric,NA,2.15,1.03,1.15,NA,2.18,NA,c,NA,NA,0.03,NA,1.4,,
46,Spring - 2013,(high),118,0.907,0.93,0.603,0.59,colorimetric,NA,1.48,0.907,0.603,NA,1.51,NA,c,NA,NA,0.03,NA,2.03,,
46,Spring - 2014,(high),122,0.612,0.59,1.14,1.1,colorimetric,NA,1.7,0.612,1.14,NA,1.752,NA,c,NA,NA,0.052,NA,3.06,,
46,Spring - 2016,(high),130,0.654,0.547,1.83,1.81,colorimetric,NA,2.32,0.654,1.83,NA,2.484,NA,c,NA,NA,0.164,NA,7.07,,
46,Spring - 2018,(high),138,0.421,0.495,0.8,0.79,colorimetric,NA,1.27,0.421,0.8,NA,1.221,NA,c,NA,NA,-0.049,NA,-3.86,,
50,Fall - 2012,(high),116,0.45,0.428,0.45,0.445,colorimetric,NA,0.889,0.45,0.45,NA,0.9,NA,c,NA,NA,0.011,NA,1.24,,
50,Fall - 2012,(low),115,0.24,0.264,0.23,0.228,colorimetric,NA,0.463,0.24,0.23,NA,0.47,NA,c,NA,NA,0.007,NA,1.51,,
50,Fall - 2014,(high),124,0.2,0.212,0.55,0.556,colorimetric,NA,0.73,0.2,0.55,NA,0.75,NA,c,NA,NA,0.02,NA,2.74,,
50,Fall - 2015,(high),128,0.33,0.518,3.18,3.04,colorimetric,NA,3.53,0.33,3.18,NA,3.51,NA,c,NA,NA,-0.02,NA,-0.57,,
50,Fall - 2015,(low),127,0.13,0.139,0.31,0.302,colorimetric,NA,0.437,0.13,0.31,NA,0.44,NA,c,NA,NA,0.003,NA,0.69,,
50,Fall - 2016,(high),132,0.34,0.317,0.96,0.933,colorimetric,NA,1.24,0.34,0.96,NA,1.3,NA,c,NA,NA,0.06,NA,4.84,,
