,Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3.method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred._TN_method,reported_TN_method,bias.TN.d,bias.TN.c,TN.d.bias..,TN.c.bias..,Flag.TN.d,Flag.TN.c,TN_rep_ind,TN_estimate2,bias2,bias2_trim2,typemethod
627,85,Spring - 2016,(low),129,0.25,0.24,0.262,0.267,colorimetric,0.52,0.48,0.25,0.262,0.52,0.512,-0.008,c,colorimetric,NA,0.032,NA,6.67,,,0,0.52,0.04,0.04,c (low)
628,85,Spring - 2017,(high),134,0.166,0.196,0.791,0.801,colorimetric,0.957,0.98,0.166,0.791,0.957,0.957,0,c,colorimetric,NA,-0.023,NA,-2.35,,,0,0.957,-0.023,-0.023,c (high)
629,85,Spring - 2017,(low),133,0.104,0.134,0.089,0.09,colorimetric,0.194,0.199,0.104,0.089,0.194,0.193,-0.001,c,colorimetric,NA,-0.006,NA,-3.02,,,0,0.194,-0.005,-0.005,c (low)
630,85,Spring - 2018,(high),138,0.471,0.495,0.768,0.79,colorimetric,1.238,1.27,0.471,0.768,1.238,1.239,0.001,c,colorimetric,NA,-0.031,NA,-2.44,,,0,1.238,-0.032,-0.032,c (high)
631,85,Spring - 2018,(low),137,0.126,0.143,0.321,0.326,colorimetric,0.447,0.45,0.126,0.321,0.447,0.447,0,c,colorimetric,NA,-0.003,NA,-0.67,,,0,0.447,-0.003,-0.003,c (low)
633,91,Fall - 2012,(high),116,0.453,0.428,0.441,0.445,colorimetric,NA,0.889,0.453,0.441,0.894,0.894,NA,c,NA,NA,0.005,NA,0.56,,,0,0.894,0.005,0.005,c (high)
634,91,Fall - 2012,(low),115,0.322,0.264,0.226,0.228,colorimetric,NA,0.463,0.322,0.226,0.548,0.548,NA,c,NA,NA,0.085,NA,18.36,,,0,0.548,0.085,0.085,c (low)
635,91,Fall - 2013,(high),120,0.575,0.54,0.694,0.692,colorimetric,NA,1.21,0.575,0.694,1.269,1.269,NA,c,NA,NA,0.059,NA,4.88,,,0,1.269,0.059,0.059,c (high)
636,91,Fall - 2013,(low),119,0.308,0.267,0.27,0.271,colorimetric,NA,0.536,0.308,0.27,0.578,0.578,NA,c,NA,NA,0.042,NA,7.84,,,0,0.578,0.042,0.042,c (low)
637,91,Fall - 2014,(high),124,0.271,0.212,0.574,0.556,colorimetric,NA,0.73,0.271,0.574,0.845,0.845,NA,c,NA,NA,0.115,NA,15.75,,,0,0.845,0.115,0.115,c (high)
638,91,Fall - 2014,(low),123,0.298,0.32,0.261,0.257,colorimetric,NA,0.555,0.298,0.261,0.559,0.559,NA,c,NA,NA,0.004,NA,0.72,,,0,0.559,0.004,0.004,c (low)
639,91,Fall - 2015,(high),128,0.5,0.518,3.06,3.04,colorimetric,NA,3.53,0.5,3.06,3.56,3.56,NA,c,NA,NA,0.03,NA,0.85,,,0,3.56,0.03,0.03,c (high)
640,91,Fall - 2016,(high),132,0.326,0.317,0.95,0.933,colorimetric,NA,1.24,0.326,0.95,1.276,1.276,NA,c,NA,NA,0.036,NA,2.9,,,0,1.276,0.036,0.036,c (high)
641,91,Fall - 2017,(high),136,0.391,0.409,0.642,0.639,colorimetric,NA,1.06,0.391,0.642,1.033,1.033,NA,c,NA,NA,-0.027,NA,-2.55,,,0,1.033,-0.027,-0.027,c (high)
642,91,Fall - 2017,(low),135,0.217,0.18,0.442,0.436,colorimetric,NA,0.616,0.217,0.442,0.659,0.659,NA,c,NA,NA,0.043,NA,6.98,,,0,0.659,0.043,0.043,c (low)
643,91,Fall - 2018,(high),140,0.533,0.486,0.662,0.663,colorimetric,NA,1.14,0.533,0.662,1.195,1.195,NA,c,NA,NA,0.055,NA,4.82,,,0,1.195,0.055,0.055,c (high)
644,91,Spring - 2012,(high),114,1.06,1.03,1.09,1.13,colorimetric,NA,2.15,1.06,1.09,2.15,2.15,NA,c,NA,NA,0,NA,0,,,0,2.15,0,0,c (high)
645,91,Spring - 2012,(low),113,0.249,0.258,0.105,0.107,colorimetric,NA,0.349,0.249,0.105,0.354,0.354,NA,c,NA,NA,0.005,NA,1.43,,,0,0.354,0.005,0.005,c (low)
648,91,Spring - 2015,(high),126,0.429,0.392,1.48,1.48,colorimetric,NA,1.86,0.429,1.48,1.909,1.909,NA,c,NA,NA,0.049,NA,2.63,,,0,1.909,0.049,0.049,c (high)
649,91,Spring - 2016,(high),130,0.56,0.547,1.78,1.81,colorimetric,NA,2.32,0.56,1.78,2.34,2.34,NA,c,NA,NA,0.02,NA,0.86,,,0,2.34,0.02,0.02,c (high)
650,91,Spring - 2016,(low),129,0.253,0.24,0.255,0.267,colorimetric,NA,0.48,0.253,0.255,0.508,0.508,NA,c,NA,NA,0.028,NA,5.83,,,0,0.508,0.028,0.028,c (low)
651,91,Spring - 2017,(high),134,0.295,0.196,0.738,0.801,colorimetric,NA,0.98,0.295,0.738,1.033,1.033,NA,c,NA,NA,0.053,NA,5.41,,,0,1.033,0.053,0.053,c (high)
652,91,Spring - 2018,(high),138,0.544,0.495,0.779,0.79,colorimetric,NA,1.27,0.544,0.779,1.323,1.323,NA,c,NA,NA,0.053,NA,4.17,,,0,1.323,0.053,0.053,c (high)
654,97,Spring - 2012,(low),113,0.2,0.258,0.11,0.107,colorimetric,0.31,0.349,0.2,0.11,0.31,0.31,0,c,other,NA,-0.039,NA,-11.17,,,0,0.31,-0.039,-0.039,c (low)
657,102,Fall - 2013,(low),119,0.24,0.267,0.26,0.271,IC,NA,0.536,0.24,0.26,0.5,0.5,NA,c,NA,NA,-0.036,NA,-6.72,,F,0,0.5,-0.036,-0.036,c (low)
658,102,Fall - 2014,(high),124,0.285,0.212,0.472,0.556,IC,NA,0.73,0.285,0.472,0.757,0.757,NA,c,NA,NA,0.027,NA,3.7,,,0,0.757,0.027,0.027,c (high)
661,102,Fall - 2015,(low),127,0.24,0.139,0.24,0.302,IC,NA,0.437,0.24,0.24,0.48,0.48,NA,c,NA,NA,0.043,NA,9.84,,F,0,0.48,0.043,0.043,c (low)
663,102,Spring - 2012,(high),114,1,1.03,1.16,1.13,IC,NA,2.15,1,1.16,2.16,2.16,NA,c,NA,NA,0.01,NA,0.47,,,0,2.16,0.01,0.01,c (high)
664,102,Spring - 2013,(high),118,1,0.93,0.56,0.59,IC,NA,1.48,1,0.56,1.56,1.56,NA,c,NA,NA,0.08,NA,5.41,,F,0,1.56,0.08,0.08,c (high)
666,102,Spring - 2014,(low),121,0.168,0.139,0.362,0.418,IC,NA,0.555,0.168,0.362,0.53,0.53,NA,c,NA,NA,-0.025,NA,-4.5,,F,0,0.53,-0.025,-0.025,c (low)
668,102,Spring - 2015,(low),125,0.19,0.162,0.23,0.307,IC,NA,0.464,0.19,0.23,0.42,0.42,NA,c,NA,NA,-0.044,NA,-9.48,,F,0,0.42,-0.044,-0.044,c (low)
669,138,Fall - 2012,(high),116,0.428,0.428,0.44,0.445,colorimetric,NA,0.889,0.428,0.44,0.868,0.868,NA,c,NA,NA,-0.021,NA,-2.36,,,0,0.868,-0.021,-0.021,c (high)
670,138,Fall - 2012,(low),115,0.261,0.264,0.226,0.228,colorimetric,NA,0.463,0.261,0.226,0.487,0.487,NA,c,NA,NA,0.024,NA,5.18,,,0,0.487,0.024,0.024,c (low)
671,138,Fall - 2013,(high),120,0.546,0.54,0.688,0.692,IC,NA,1.21,0.546,0.688,1.234,1.234,NA,c,NA,NA,0.024,NA,1.98,,,0,1.234,0.024,0.024,c (high)
672,138,Fall - 2013,(low),119,0.281,0.267,0.268,0.271,IC,NA,0.536,0.281,0.268,0.549,0.549,NA,c,NA,NA,0.013,NA,2.43,,F,0,0.549,0.013,0.013,c (low)
673,138,Fall - 2014,(high),124,0.216,0.212,0.539,0.556,colorimetric,NA,0.73,0.216,0.539,0.755,0.755,NA,c,NA,NA,0.025,NA,3.42,,,0,0.755,0.025,0.025,c (high)
674,138,Fall - 2014,(low),123,0.297,0.32,0.246,0.257,colorimetric,NA,0.555,0.297,0.246,0.543,0.543,NA,c,NA,NA,-0.012,NA,-2.16,,,0,0.543,-0.012,-0.012,c (low)
675,138,Fall - 2015,(high),128,0.526,0.518,3.05,3.04,colorimetric,NA,3.53,0.526,3.05,3.576,3.576,NA,c,NA,NA,0.046,NA,1.3,,,0,3.576,0.046,0.046,c (high)
676,138,Fall - 2015,(low),127,0.142,0.139,0.307,0.302,colorimetric,NA,0.437,0.142,0.307,0.449,0.449,NA,c,NA,NA,0.012,NA,2.75,,,0,0.449,0.012,0.012,c (low)
677,138,Fall - 2016,(high),132,0.383,0.317,0.952,0.933,colorimetric,NA,1.24,0.383,0.952,1.335,1.335,NA,c,NA,NA,0.095,NA,7.66,,,0,1.335,0.095,0.095,c (high)
678,138,Fall - 2016,(low),131,0.174,0.14,0.366,0.362,colorimetric,NA,0.491,0.174,0.366,0.54,0.54,NA,c,NA,NA,0.049,NA,9.98,,,0,0.54,0.049,0.049,c (low)
679,138,Spring - 2012,(high),114,1.03,1.03,1.14,1.13,colorimetric,NA,2.15,1.03,1.14,2.17,2.17,NA,c,NA,NA,0.02,NA,0.93,,,0,2.17,0.02,0.02,c (high)
680,138,Spring - 2012,(low),113,0.211,0.258,0.11,0.107,colorimetric,NA,0.349,0.211,0.11,0.321,0.321,NA,c,NA,NA,-0.028,NA,-8.02,,,0,0.321,-0.028,-0.028,c (low)
681,138,Spring - 2013,(high),118,0.984,0.93,0.602,0.59,colorimetric,NA,1.48,0.984,0.602,1.586,1.586,NA,c,NA,NA,0.106,NA,7.16,,,0,1.586,0.106,0.106,c (high)
682,138,Spring - 2013,(low),117,0.445,0.44,0.216,0.22,colorimetric,NA,0.641,0.445,0.216,0.661,0.661,NA,c,NA,NA,0.02,NA,3.12,,,0,0.661,0.02,0.02,c (low)
683,142,Fall - 2012,(low),115,0.294,0.264,0.22,0.228,colorimetric,0.514,0.463,0.294,0.22,0.514,0.514,0,c,colorimetric,NA,0.051,NA,11.02,,,0,0.514,0.051,0.051,c (low)
684,142,Fall - 2013,(high),120,0.56,0.54,0.73,0.692,colorimetric,1.29,1.21,0.56,0.73,1.29,1.29,0,c,colorimetric,NA,0.08,NA,6.61,,,0,1.29,0.08,0.08,c (high)
685,142,Fall - 2013,(low),119,0.296,0.267,0.27,0.271,colorimetric,0.566,0.536,0.296,0.27,0.566,0.566,0,c,colorimetric,NA,0.03,NA,5.6,,,0,0.566,0.03,0.03,c (low)
686,142,Fall - 2014,(high),124,0.18,0.212,0.53,0.556,colorimetric,0.71,0.73,0.18,0.53,0.71,0.71,0,c,colorimetric,NA,-0.02,NA,-2.74,,,0,0.71,-0.02,-0.02,c (high)
687,142,Fall - 2014,(low),123,0.32,0.32,0.24,0.257,colorimetric,0.56,0.555,0.32,0.24,0.56,0.56,0,c,colorimetric,NA,0.005,NA,0.9,,,0,0.56,0.005,0.005,c (low)
688,142,Fall - 2015,(high),128,0.55,0.518,3.08,3.04,colorimetric,3.63,3.53,0.55,3.08,3.63,3.63,0,c,colorimetric,NA,0.1,NA,2.83,,,0,3.63,0.1,0.1,c (high)
689,142,Fall - 2015,(low),127,0.22,0.139,0.3,0.302,colorimetric,0.52,0.437,0.22,0.3,0.52,0.52,0,c,colorimetric,NA,0.083,NA,18.99,,,0,0.52,0.083,0.083,c (low)
690,142,Fall - 2016,(high),132,0.37,0.317,0.89,0.933,colorimetric,1.26,1.24,0.37,0.89,1.26,1.26,0,c,colorimetric,NA,0.02,NA,1.61,,,0,1.26,0.02,0.02,c (high)
691,142,Fall - 2016,(low),131,0.12,0.14,0.33,0.362,colorimetric,0.45,0.491,0.12,0.33,0.45,0.45,0,c,colorimetric,NA,-0.041,NA,-8.35,,,0,0.45,-0.041,-0.041,c (low)
692,142,Fall - 2017,(high),136,0.42,0.409,0.61,0.639,colorimetric,1.03,1.06,0.42,0.61,1.03,1.03,0,c,colorimetric,NA,-0.03,NA,-2.83,,,0,1.03,-0.03,-0.03,c (high)
693,142,Fall - 2017,(low),135,0.21,0.18,0.4,0.436,colorimetric,0.61,0.616,0.21,0.4,0.61,0.61,0,c,colorimetric,NA,-0.006,NA,-0.97,,,0,0.61,-0.006,-0.006,c (low)
694,142,Fall - 2018,(high),140,0.48,0.486,0.682,0.663,colorimetric,1.16,1.14,0.48,0.682,1.16,1.162,0.002,c,colorimetric,NA,0.022,NA,1.93,,,0,1.16,0.02,0.02,c (high)
695,142,Fall - 2018,(low),139,0.08,0.111,0.2,0.2,colorimetric,0.284,0.307,0.08,0.2,0.284,0.28,-0.004,c,colorimetric,NA,-0.027,NA,-8.79,,,0,0.284,-0.023,-0.023,c (low)
696,142,Spring - 2012,(high),114,1.1,1.03,1.17,1.13,colorimetric,2.27,2.15,1.1,1.17,2.27,2.27,0,c,colorimetric,NA,0.12,NA,5.58,,,0,2.27,0.12,0.12,c (high)
697,142,Spring - 2012,(low),113,0.267,0.258,0.1,0.107,colorimetric,0.367,0.349,0.267,0.1,0.367,0.367,0,c,colorimetric,NA,0.018,NA,5.16,,,0,0.367,0.018,0.018,c (low)
698,142,Spring - 2013,(low),117,0.431,0.44,0.207,0.22,colorimetric,0.641,0.641,0.431,0.207,0.641,0.638,-0.003,c,colorimetric,NA,-0.003,NA,-0.47,,,0,0.641,0,0,c (low)
699,142,Spring - 2014,(high),122,0.48,0.59,1.16,1.1,colorimetric,1.64,1.7,0.48,1.16,1.64,1.64,0,c,colorimetric,NA,-0.06,NA,-3.53,,,0,1.64,-0.06,-0.06,c (high)
700,142,Spring - 2015,(high),126,0.4,0.392,1.47,1.48,colorimetric,1.87,1.86,0.4,1.47,1.87,1.87,0,c,colorimetric,NA,0.01,NA,0.54,,,0,1.87,0.01,0.01,c (high)
701,142,Spring - 2015,(low),125,0.22,0.162,0.29,0.307,colorimetric,0.51,0.464,0.22,0.29,0.51,0.51,0,c,colorimetric,NA,0.046,NA,9.91,,,0,0.51,0.046,0.046,c (low)
702,142,Spring - 2016,(high),130,0.51,0.547,1.8,1.81,colorimetric,2.31,2.32,0.51,1.8,2.31,2.31,0,c,colorimetric,NA,-0.01,NA,-0.43,,,0,2.31,-0.01,-0.01,c (high)
703,142,Spring - 2016,(low),129,0.2,0.24,0.25,0.267,colorimetric,0.45,0.48,0.2,0.25,0.45,0.45,0,c,colorimetric,NA,-0.03,NA,-6.25,,,0,0.45,-0.03,-0.03,c (low)
704,142,Spring - 2017,(high),134,0.28,0.196,0.76,0.801,colorimetric,1.04,0.98,0.28,0.76,1.04,1.04,0,c,colorimetric,NA,0.06,NA,6.12,,,0,1.04,0.06,0.06,c (high)
705,142,Spring - 2017,(low),133,0.19,0.134,0.08,0.09,colorimetric,0.27,0.199,0.19,0.08,0.27,0.27,0,c,colorimetric,NA,0.071,NA,35.68,,X,0,0.27,0.071,0.071,c (low)
706,142,Spring - 2018,(high),138,0.57,0.495,0.73,0.79,colorimetric,1.3,1.27,0.57,0.73,1.3,1.3,0,c,colorimetric,NA,0.03,NA,2.36,,,0,1.3,0.03,0.03,c (high)
707,142,Spring - 2018,(low),137,0.14,0.143,0.28,0.326,colorimetric,0.42,0.45,0.14,0.28,0.42,0.42,0,c,colorimetric,NA,-0.03,NA,-6.67,,,0,0.42,-0.03,-0.03,c (low)
709,146,Spring - 2012,(low),113,0.325,0.258,0.103,0.107,colorimetric,0.428,0.349,0.325,0.103,0.428,0.428,0,c,colorimetric,NA,0.079,NA,22.64,,,0,0.428,0.079,0.079,c (low)
710,158,Fall - 2012,(high),116,0.432,0.428,0.441,0.445,colorimetric,0.873,0.889,0.432,0.441,0.873,0.873,0,c,other,NA,-0.016,NA,-1.8,,,0,0.873,-0.016,-0.016,c (high)
711,158,Fall - 2012,(low),115,0.244,0.264,0.213,0.228,colorimetric,0.457,0.463,0.244,0.213,0.457,0.457,0,c,colorimetric,NA,-0.006,NA,-1.3,,,0,0.457,-0.006,-0.006,c (low)
712,158,Fall - 2013,(high),120,0.586,0.54,0.664,0.692,colorimetric,1.25,1.21,0.586,0.664,1.25,1.25,0,c,colorimetric,NA,0.04,NA,3.31,,,0,1.25,0.04,0.04,c (high)
713,158,Fall - 2013,(low),119,0.292,0.267,0.244,0.271,colorimetric,0.536,0.536,0.292,0.244,0.536,0.536,0,c,colorimetric,NA,0,NA,0,,,0,0.536,0,0,c (low)
714,158,Fall - 2014,(high),124,0.215,0.212,0.512,0.556,colorimetric,0.727,0.73,0.215,0.512,0.727,0.727,0,c,colorimetric,NA,-0.003,NA,-0.41,,,0,0.727,-0.003,-0.003,c (high)
715,158,Fall - 2014,(low),123,0.28,0.32,0.236,0.257,colorimetric,0.516,0.555,0.28,0.236,0.516,0.516,0,c,colorimetric,NA,-0.039,NA,-7.03,,,0,0.516,-0.039,-0.039,c (low)
716,158,Fall - 2015,(high),128,0.72,0.518,2.83,3.04,colorimetric,3.55,3.53,0.72,2.83,3.55,3.55,0,c,colorimetric,NA,0.02,NA,0.57,,,0,3.55,0.02,0.02,c (high)
717,158,Fall - 2015,(low),127,0.172,0.139,0.275,0.302,colorimetric,0.447,0.437,0.172,0.275,0.447,0.447,0,c,colorimetric,NA,0.01,NA,2.29,,,0,0.447,0.01,0.01,c (low)
718,158,Fall - 2016,(high),132,0.34,0.317,0.96,0.933,colorimetric,1.3,1.24,0.34,0.96,1.3,1.3,0,c,colorimetric,NA,0.06,NA,4.84,,,0,1.3,0.06,0.06,c (high)
719,158,Fall - 2016,(low),131,0.207,0.14,0.316,0.362,colorimetric,0.523,0.491,0.207,0.316,0.523,0.523,0,c,colorimetric,NA,0.032,NA,6.52,,,0,0.523,0.032,0.032,c (low)
720,158,Fall - 2017,(high),136,0.368,0.409,0.632,0.639,colorimetric,1,1.06,0.368,0.632,1,1,0,c,colorimetric,NA,-0.06,NA,-5.66,,,0,1,-0.06,-0.06,c (high)
721,158,Fall - 2017,(low),135,0.14,0.18,0.445,0.436,colorimetric,0.585,0.616,0.14,0.445,0.585,0.585,0,c,colorimetric,NA,-0.031,NA,-5.03,,,0,0.585,-0.031,-0.031,c (low)
722,158,Fall - 2018,(high),140,0.5,0.486,0.66,0.663,colorimetric,1.16,1.14,0.5,0.66,1.16,1.16,0,c,colorimetric,NA,0.02,NA,1.75,,,0,1.16,0.02,0.02,c (high)
723,158,Fall - 2018,(low),139,0.11,0.111,0.2,0.2,colorimetric,0.31,0.307,0.11,0.2,0.31,0.31,0,c,colorimetric,NA,0.003,NA,0.98,,,0,0.31,0.003,0.003,c (low)
725,158,Spring - 2012,(low),113,0.28,0.258,0.093,0.107,colorimetric,0.373,0.349,0.28,0.093,0.373,0.373,0,c,colorimetric,NA,0.024,NA,6.88,,,0,0.373,0.024,0.024,c (low)
726,158,Spring - 2014,(high),122,0.71,0.59,1.07,1.1,colorimetric,1.78,1.7,0.71,1.07,1.78,1.78,0,c,colorimetric,NA,0.08,NA,4.71,,,0,1.78,0.08,0.08,c (high)
727,158,Spring - 2014,(low),121,0.099,0.139,0.405,0.418,colorimetric,0.504,0.555,0.099,0.405,0.504,0.504,0,c,colorimetric,NA,-0.051,NA,-9.19,,,0,0.504,-0.051,-0.051,c (low)
728,158,Spring - 2015,(high),126,0.49,0.392,1.49,1.48,colorimetric,1.98,1.86,0.49,1.49,1.98,1.98,0,c,other,NA,0.12,NA,6.45,,,0,1.98,0.12,0.12,c (high)
729,158,Spring - 2015,(low),125,0.215,0.162,0.3,0.307,colorimetric,0.515,0.464,0.215,0.3,0.515,0.515,0,c,other,NA,0.051,NA,10.99,,,0,0.515,0.051,0.051,c (low)
731,158,Spring - 2016,(low),129,0.24,0.24,0.253,0.267,colorimetric,0.493,0.48,0.24,0.253,0.493,0.493,0,c,colorimetric,NA,0.013,NA,2.71,,,0,0.493,0.013,0.013,c (low)
732,158,Spring - 2017,(high),134,0.257,0.196,0.763,0.801,colorimetric,1.02,0.98,0.257,0.763,1.02,1.02,0,c,colorimetric,NA,0.04,NA,4.08,,,0,1.02,0.04,0.04,c (high)
733,158,Spring - 2017,(low),133,0.135,0.134,0.108,0.09,colorimetric,0.243,0.199,0.135,0.108,0.243,0.243,0,c,colorimetric,NA,0.044,NA,22.11,,,0,0.243,0.044,0.044,c (low)
734,158,Spring - 2018,(high),138,0.571,0.495,0.779,0.79,colorimetric,1.35,1.27,0.571,0.779,1.35,1.35,0,c,colorimetric,NA,0.08,NA,6.3,,,0,1.35,0.08,0.08,c (high)
735,158,Spring - 2018,(low),137,0.146,0.143,0.322,0.326,colorimetric,0.468,0.45,0.146,0.322,0.468,0.468,0,c,colorimetric,NA,0.018,NA,4,,,0,0.468,0.018,0.018,c (low)
736,180,Fall - 2012,(high),116,0.42,0.428,0.477,0.445,IC,NA,0.889,0.42,0.477,0.897,0.897,NA,c,NA,NA,0.008,NA,0.9,,,0,0.897,0.008,0.008,c (high)
737,180,Fall - 2012,(low),115,0.256,0.264,0.224,0.228,IC,NA,0.463,0.256,0.224,0.48,0.48,NA,c,NA,NA,0.017,NA,3.67,,,0,0.48,0.017,0.017,c (low)
738,180,Fall - 2013,(high),120,0.498,0.54,0.723,0.692,IC,NA,1.21,0.498,0.723,1.221,1.221,NA,c,NA,NA,0.011,NA,0.91,,,0,1.221,0.011,0.011,c (high)
739,180,Fall - 2013,(low),119,0.239,0.267,0.275,0.271,IC,NA,0.536,0.239,0.275,0.514,0.514,NA,c,NA,NA,-0.022,NA,-4.1,,,0,0.514,-0.022,-0.022,c (low)
740,180,Fall - 2014,(high),124,0.212,0.212,0.548,0.556,IC,NA,0.73,0.212,0.548,0.76,0.76,NA,c,NA,NA,0.03,NA,4.11,,,0,0.76,0.03,0.03,c (high)
741,180,Fall - 2014,(low),123,0.303,0.32,0.249,0.257,IC,NA,0.555,0.303,0.249,0.552,0.552,NA,c,NA,NA,-0.003,NA,-0.54,,,0,0.552,-0.003,-0.003,c (low)
742,180,Fall - 2015,(high),128,0.51,0.518,3.08,3.04,IC,NA,3.53,0.51,3.08,3.59,3.59,NA,c,NA,NA,0.06,NA,1.7,,,0,3.59,0.06,0.06,c (high)
743,180,Fall - 2015,(low),127,0.175,0.139,0.308,0.302,IC,NA,0.437,0.175,0.308,0.483,0.483,NA,c,NA,NA,0.046,NA,10.53,,,0,0.483,0.046,0.046,c (low)
745,180,Fall - 2016,(low),131,0.175,0.14,0.351,0.362,IC,NA,0.491,0.175,0.351,0.526,0.526,NA,c,NA,NA,0.035,NA,7.13,,,0,0.526,0.035,0.035,c (low)
746,180,Fall - 2017,(high),136,0.42,0.409,0.621,0.639,IC,NA,1.06,0.42,0.621,1.041,1.041,NA,c,NA,NA,-0.019,NA,-1.79,,,0,1.041,-0.019,-0.019,c (high)
747,180,Fall - 2017,(low),135,0.185,0.18,0.421,0.436,IC,NA,0.616,0.185,0.421,0.606,0.606,NA,c,NA,NA,-0.01,NA,-1.62,,,0,0.606,-0.01,-0.01,c (low)
748,180,Fall - 2018,(high),140,0.51,0.486,0.655,0.663,IC,NA,1.14,0.51,0.655,1.165,1.165,NA,c,NA,NA,0.025,NA,2.19,,F,0,1.165,0.025,0.025,c (high)
749,180,Fall - 2018,(low),139,0.088,0.111,0.194,0.2,IC,NA,0.307,0.088,0.194,0.282,0.282,NA,c,NA,NA,-0.025,NA,-8.14,,F,0,0.282,-0.025,-0.025,c (low)
750,180,Spring - 2012,(high),114,1.05,1.03,1.12,1.13,IC,NA,2.15,1.05,1.12,2.17,2.17,NA,c,NA,NA,0.02,NA,0.93,,,0,2.17,0.02,0.02,c (high)
751,180,Spring - 2012,(low),113,0.27,0.258,0.101,0.107,IC,NA,0.349,0.27,0.101,0.371,0.371,NA,c,NA,NA,0.022,NA,6.3,,,0,0.371,0.022,0.022,c (low)
752,180,Spring - 2013,(high),118,0.919,0.93,0.567,0.59,IC,NA,1.48,0.919,0.567,1.486,1.486,NA,c,NA,NA,0.006,NA,0.41,,F,0,1.486,0.006,0.006,c (high)
753,180,Spring - 2013,(low),117,0.433,0.44,0.219,0.22,IC,NA,0.641,0.433,0.219,0.652,0.652,NA,c,NA,NA,0.011,NA,1.72,,,0,0.652,0.011,0.011,c (low)
755,180,Spring - 2014,(low),121,0.191,0.139,0.405,0.418,IC,NA,0.555,0.191,0.405,0.596,0.596,NA,c,NA,NA,0.041,NA,7.39,,,0,0.596,0.041,0.041,c (low)
756,180,Spring - 2015,(high),126,0.328,0.392,1.5,1.48,IC,NA,1.86,0.328,1.5,1.828,1.828,NA,c,NA,NA,-0.032,NA,-1.72,,F,0,1.828,-0.032,-0.032,c (high)
757,180,Spring - 2015,(low),125,0.182,0.162,0.285,0.307,IC,NA,0.464,0.182,0.285,0.467,0.467,NA,c,NA,NA,0.003,NA,0.65,,F,0,0.467,0.003,0.003,c (low)
758,180,Spring - 2016,(high),130,0.547,0.547,1.79,1.81,IC,NA,2.32,0.547,1.79,2.337,2.337,NA,c,NA,NA,0.017,NA,0.73,,,0,2.337,0.017,0.017,c (high)
759,180,Spring - 2016,(low),129,0.268,0.24,0.267,0.267,IC,NA,0.48,0.268,0.267,0.535,0.535,NA,c,NA,NA,0.055,NA,11.46,,,0,0.535,0.055,0.055,c (low)
761,180,Spring - 2017,(low),133,0.114,0.134,0.084,0.09,IC,NA,0.199,0.114,0.084,0.198,0.198,NA,c,NA,NA,-0.001,NA,-0.5,,F,0,0.198,-0.001,-0.001,c (low)
762,180,Spring - 2018,(high),138,0.503,0.495,0.781,0.79,IC,NA,1.27,0.503,0.781,1.284,1.284,NA,c,NA,NA,0.014,NA,1.1,,F,0,1.284,0.014,0.014,c (high)
763,180,Spring - 2018,(low),137,0.148,0.143,0.338,0.326,IC,NA,0.45,0.148,0.338,0.486,0.486,NA,c,NA,NA,0.036,NA,8,,F,0,0.486,0.036,0.036,c (low)
765,183,Fall - 2013,(low),119,0.38,0.267,0.124,0.271,colorimetric,0.504,0.536,0.38,0.124,0.504,0.504,0,c,colorimetric,NA,-0.032,NA,-5.97,,,0,0.504,-0.032,-0.032,c (low)
768,212,Spring - 2013,(high),118,0.85,0.93,0.63,0.59,colorimetric,1.5,1.48,0.85,0.63,1.5,1.48,-0.02,c,other,NA,0,NA,0,,,0,1.5,0.02,0.02,c (high)
769,227,Fall - 2013,(high),120,0.476,0.54,0.693,0.692,IC,NA,1.21,0.476,0.693,1.169,1.169,NA,c,NA,NA,-0.041,NA,-3.39,,F,0,1.169,-0.041,-0.041,c (high)
770,227,Fall - 2013,(low),119,0.267,0.267,0.31,0.271,IC,NA,0.536,0.267,0.31,0.577,0.577,NA,c,NA,NA,0.041,NA,7.65,,F,0,0.577,0.041,0.041,c (low)
771,227,Fall - 2016,(high),132,0.288,0.317,0.955,0.933,IC,NA,1.24,0.288,0.955,1.243,1.243,NA,c,NA,NA,0.003,NA,0.24,,F,0,1.243,0.003,0.003,c (high)
772,227,Fall - 2016,(low),131,0.161,0.14,0.413,0.362,IC,NA,0.491,0.161,0.413,0.574,0.574,NA,c,NA,NA,0.083,NA,16.9,,F,0,0.574,0.083,0.083,c (low)
773,227,Fall - 2017,(high),136,0.474,0.409,0.662,0.639,IC,NA,1.06,0.474,0.662,1.136,1.136,NA,c,NA,NA,0.076,NA,7.17,,F,0,1.136,0.076,0.076,c (high)
774,227,Fall - 2017,(low),135,0.246,0.18,0.464,0.436,IC,NA,0.616,0.246,0.464,0.71,0.71,NA,c,NA,NA,0.094,NA,15.26,,F,0,0.71,0.094,0.094,c (low)
775,227,Spring - 2012,(high),114,1.06,1.03,1.13,1.13,IC,NA,2.15,1.06,1.13,2.19,2.19,NA,c,NA,NA,0.04,NA,1.86,,,0,2.19,0.04,0.04,c (high)
